Peak,FA_name,Common_name,Class,synthesizer,Reten_1_mirror_fish,Area_1_mirror_fish,Reten_2_mirror_fish,Area_2_mirror_fish,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_108_clear_caddis,Area_108_clear_caddis,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_80_clear_chaob,Area_80_clear_chaob,Reten_96_L_cal,Area_96_L_cal,Reten_81_clear_clad,Area_81_clear_clad,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_105_milk_cal,Area_105_milk_cal,Reten_106_milk_chaob,Area_106_milk_chaob,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,,Reten_17_O_filAlgae,Area_17_O_filAlgae,Reten_32_O_peri,Area_32_O_peri,Reten_29_morg_peri,Area_29_morg_peri,Reten_34_y015_peri,Area_34_y015_peri,Reten_41_C_pom,Area_41_C_pom,Reten_44_clear_pom,Area_44_clear_pom,Reten_48_milk_pom,Area_48_milk_pom,Reten_51_mirror_pom,Area_51_mirror_pom,Reten_54_morg_pom,Area_54_morg_pom,Reten_64_Z_pom,Area_64_Z_pom,Reten_71_O_soil,Area_71_O_soil,Reten_73_plant,Area_73_plant,Reten_74_plant,Area_74_plant,Reten_75_plant,Area_75_plant,Reten_76_plant,Area_76_plant,Reten_77_plant,Area_77_plant,Reten_109_Z_moss,Area_109_Z_moss,total_appearances_prod,total_appearances_cons,,
68,20-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",NA,NA,NA,NA,48.63100052,5.083017349,48.64491653,6.707962036,48.63293457,6.197134972,48.61149597,12.07282448,48.6440773,6.96909523,48.63609314,5.399466038,48.63508987,4.680791378,48.64917755,4.421652794,48.65011978,7.547341347,48.65359879,5.360286236,48.63496017,4.586061001,48.63722229,4.014392376,48.63330078,9.840261459,48.61902237,4.004749775,48.62440491,5.334236622,48.62239838,8.102573395,48.6210289,8.403643608,48.59893799,3.954831362,48.61202621,3.879042864,48.61494064,3.839449644,48.64635468,30.02286911,48.62685776,11.29252625,NA,NA,48.61611557,4.248985767,48.6198349,8.006768227,48.61869812,5.817824841,NA,NA,NA,NA,NA,NA,,NA,NA,48.60268021,13.98513603,48.59133911,6.402429581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.61883926,36.25424957,48.62948227,11.17579937,48.63041306,17.63869286,48.64786911,12.80808258,48.59276581,6.024996758,48.62248611,8.465454102,48.59585571,7.878149509,9,25,34,0.708333333
69,20-1n9,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.14064789,3.231954813,49.13087845,5.426777363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.041666667
70,20-1n7,,MUFA,,NA,NA,49.50876617,3.004150867,NA,NA,49.5235405,3.65909791,49.51039505,3.515574932,49.48514938,7.361642838,49.51956558,3.255320311,49.5121727,3.118202925,NA,NA,NA,NA,49.52626801,4.804873466,49.53116989,3.601911783,49.51441956,4.841599464,49.51583099,4.730817318,49.51114273,5.261076927,49.50649643,8.135972023,49.51013947,5.329007149,49.50950241,4.49198246,49.50530243,7.168099403,NA,NA,49.4956398,6.167287827,NA,NA,49.52174377,16.00604439,49.5101738,15.11368847,NA,NA,NA,NA,49.50815964,11.40787888,49.50575638,5.90591526,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,49.46805954,3.77726841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,21,0.4375
70.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.05546951,3.761294603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
72,,,,,NA,NA,NA,NA,NA,NA,NA,NA,50.9631424,3.540964127,50.93882751,8.425168991,50.97481155,5.239659309,50.96643829,3.842833281,50.96500397,5.855778217,NA,NA,50.97888947,3.21820116,NA,NA,NA,NA,NA,NA,50.95969009,4.932155609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0.145833333
73,,,,,NA,NA,NA,NA,NA,NA,NA,NA,51.2567482,7.459712982,51.2313118,9.291006088,51.26773834,11.10001469,51.25928879,8.356663704,51.25767136,12.71815491,NA,NA,51.27142715,6.682830811,NA,NA,NA,NA,NA,NA,51.25423813,7.217781544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.25486374,6.66564703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.166666667
74,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.37652969,4.66912508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
74.5,20-3n3,,PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.82920456,3.951352358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
75,20-2n6,,PUFA,Euglenophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.10840225,5.114686012,52.10826874,8.539528847,52.10792923,7.109158516,52.11149597,15.45657349,NA,NA,52.09838104,5.159375668,NA,NA,52.11588669,16.92434502,52.10455704,5.023207188,NA,NA,NA,NA,52.10707474,9.252691269,52.10599518,5.124683857,NA,NA,NA,NA,NA,NA,,NA,NA,51.98101807,5.359396458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.97214127,4.419626713,NA,NA,NA,NA,NA,NA,NA,NA,51.94390488,3.325046778,NA,NA,3,9,12,0.25
76,20-3n6,,PUFA,Euglenophyceae,NA,NA,53.43297958,3.069078684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.44148254,3.999861956,NA,NA,NA,NA,53.44124603,6.959517002,NA,NA,53.43255997,4.225726604,NA,NA,53.45195389,5.315682888,53.43967056,3.101255655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,0.125
77,20-4n6,ARA (arachidonic),PUFA,"produced by very few higher plants and algae, must be elongated from LIN",54.19691849,11.76159668,54.19989395,17.21221924,54.20029068,13.71750641,54.20856094,9.856884956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.21733856,4.700524807,54.21755219,5.981044292,54.23907852,40.12348175,54.21474838,31.89049149,54.21146393,22.71922684,NA,NA,54.21723557,31.14982414,54.22924042,52.27446747,54.22783279,51.67783737,54.22069168,47.08879471,54.19326019,23.93664169,54.20742416,32.60276413,54.19830322,6.573114872,54.23264694,57.92898941,54.21712494,40.70595169,54.19664383,5.600206375,54.20196533,10.19667244,54.21629333,39.25543976,54.21414185,34.23386765,54.20723343,27.90041351,54.18259048,6.939241409,54.19822693,5.547167301,,54.14442444,30.53497505,54.0920639,10.6269083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.06596375,4.951595783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1571312,9.981694221,4,25,29,0.604166667
80,20-4n3,,PUFA,Euglenophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.79788208,3.448943615,NA,NA,NA,NA,56.80543518,6.115667343,56.81293488,6.272379398,NA,NA,56.81052399,17.76654434,56.78760529,3.292873859,56.7971344,6.143041611,NA,NA,56.82594299,20.29616356,56.80782318,8.483345985,NA,NA,NA,NA,56.81553268,10.9758482,56.81538391,8.083737373,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0.208333333
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",57.6076355,17.97271729,57.61313629,27.60232353,57.6190834,29.69348145,57.62641525,17.85762024,57.61038589,6.763072968,NA,NA,57.62040329,8.016283989,57.61607742,6.609313965,NA,NA,57.62829208,8.907953262,57.63285065,19.14300919,57.64295197,35.47109985,57.62408066,36.67354202,57.62427521,31.87858963,NA,NA,57.64011765,51.8596077,57.66515732,106.2260056,57.64920807,76.90584564,57.66865158,119.8295135,57.64318085,107.0852432,57.63059235,55.27187347,57.61257172,9.428109169,57.71817017,238.7593536,57.68015289,149.535965,57.61582184,11.4116497,57.61881256,13.14283276,57.71281815,245.3737946,57.72251129,271.4318542,57.61945343,17.51947021,57.60157394,6.400332451,57.611866,4.357056618,,57.54546738,13.49153519,57.28054428,3.177386999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.56794357,5.618901253,3,28,31,0.645833333
82,22-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",NA,NA,NA,NA,59.60740662,3.303533316,59.6230011,5.87182045,59.61371994,7.501466274,59.59124374,7.988208294,59.62150192,5.05162096,59.60920334,3.295910358,NA,NA,59.62547302,3.151103973,59.63195419,5.326918602,59.63193893,3.46809268,59.61383057,5.042446613,59.61647415,4.387860298,59.61513138,7.173988342,59.59487152,4.65571785,59.59588623,3.352419615,59.59207153,4.63220644,59.59728622,10.19410229,NA,NA,59.58378983,5.507991314,NA,NA,59.62080002,14.75404072,59.59743881,9.327610016,NA,NA,59.58850479,4.786294937,59.59333801,5.972508907,NA,NA,59.5763855,3.493183374,NA,NA,NA,NA,,59.55422974,4.657072067,59.60187912,28.24551964,59.57250595,11.35492516,59.57053757,5.826346397,NA,NA,NA,NA,59.57410431,3.656154156,NA,NA,NA,NA,NA,NA,59.64915466,75.26070404,59.62097549,19.83679199,59.60339737,11.51859188,59.62662888,10.55660057,59.56063843,6.804434299,59.57209396,15.85505962,59.58603287,12.15572262,12,22,34,0.708333333
83,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.58162689,5.068947792,NA,NA,60.56771851,4.150820732,60.5733757,8.658118248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.58522415,5.568405151,60.56591034,4.841344833,NA,NA,60.55818558,4.060968876,60.56735992,4.646027088,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,0.145833333
85,21-5n3,,PUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.83761597,4.560398102,NA,NA,63.83325577,4.972429752,NA,NA,NA,NA,NA,NA,63.84017563,16.30626488,63.8337326,4.651958942,NA,NA,NA,NA,63.82783508,7.04528904,63.83182526,6.1203022,NA,NA,NA,NA,NA,NA,,NA,NA,63.94111252,4.854475498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.94058228,15.27180862,63.97283936,8.72235775,NA,NA,NA,NA,NA,NA,NA,NA,63.94598389,3.53461194,4,6,10,0.208333333
86,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.60298157,5.496763706,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9479332,9.420384407,NA,NA,1,1,2,0.041666667
87,22-4n6,,PUFA,Euglenophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.79380798,3.31383872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.82232666,4.993761063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.75144958,10.57544231,65.96844482,6.742342949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,0.083333333
87.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.19548798,6.952386379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.51082611,9.083462715,66.51194,5.925729752,NA,NA,66.55376434,74.48634338,66.54077911,50.46545029,66.53246307,42.19494629,66.52220917,23.00471306,66.49293518,10.30857086,66.51504517,31.37049103,NA,NA,66.59163666,143.7628632,66.52966309,43.57110596,NA,NA,NA,NA,66.53875732,53.0692749,66.51761627,30.90755081,NA,NA,NA,NA,NA,NA,,66.26197052,5.034031391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,13,0.270833333
89,22-5n3,DPA (docosapentaenoic),PUFA,,69.45370483,5.659042835,69.45302582,10.59272766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48043823,6.791810513,69.47290039,6.446064472,69.4822998,11.71539021,NA,NA,NA,NA,NA,NA,69.52944946,21.10168457,69.47207642,7.806593895,NA,NA,NA,NA,69.48905945,13.57946014,69.46764374,5.752178192,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,0.1875
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",70.36669159,48.01902008,70.38169861,72.05168915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.37467957,3.986858845,70.35701752,20.14608002,70.3587265,25.60998535,NA,NA,70.39026642,53.55948257,70.46257019,177.4914246,70.42459106,116.7364731,70.5065155,283.4216309,70.35719299,48.25108719,70.4040451,96.12810516,59.5827446,3.469066381,70.62518311,586.104126,70.46141815,193.5158386,70.34832764,5.897792816,NA,NA,70.53182983,354.5535278,70.46777344,216.6755219,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,0.354166667
91,24-0,JSY?,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",NA,NA,NA,NA,NA,NA,NA,NA,71.00389862,6.50467968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.97502899,7.157942295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,70.93678284,10.40808773,71.01696014,42.79013824,70.95820618,11.66771603,70.94965363,4.78014946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.08985138,99.01504517,71.06697083,71.04282379,71.01287079,17.22140312,71.02613068,11.66435528,70.94833374,5.363100052,71.02902222,33.91617584,70.97613525,17.83726501,11,2,13,0.270833333
92,24-1n?,,MUFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.26119995,9.263426781,72.26407623,10.76920509,NA,NA,72.25546265,22.18441582,72.22982788,9.859509468,72.2328186,11.77606487,72.23844147,19.81520462,NA,NA,72.22927094,13.65325165,NA,NA,72.25372314,27.58982658,72.24191284,20.1282444,NA,NA,NA,NA,72.23974609,21.92356491,72.21331787,4.010005951,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0.229166667
95,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.14745331,8.574638367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.93275452,5.571797371,NA,NA,1,1,2,0.041666667
97,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.41285706,5.645017624,78.43406677,4.307655334,NA,NA,78.42185211,4.113890171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.68968964,3.638936281,NA,NA,NA,NA,NA,NA,78.49415588,6.811990261,NA,NA,2,3,5,0.104166667
98,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.15309906,5.904663563,79.15563965,5.133348942,NA,NA,79.1360321,6.635583401,79.13130188,3.987236023,79.12910461,4.761342049,79.12863159,6.038869381,79.10614014,3.718204021,79.12424469,6.163952827,70.34140778,5.844266891,NA,NA,79.12450409,4.27086544,79.12213135,3.329970837,79.12702942,5.56189394,79.12644196,6.057980061,NA,NA,79.11639404,4.818005085,79.10438538,4.398184776,79.1122818,3.337033749,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.14494324,8.413737297,79.49660492,8.508792877,NA,NA,NA,NA,NA,NA,78.85167694,26.64884186,NA,NA,3,16,19,0.395833333
